Date,Price,Open,High,Low,Volume,Chg%
"Apr 23, 2021",14341.35,14326.35,14461.15,14273.3,476.61B,-0.45%
"Apr 22, 2021",14406.15,14219.15,14424.75,14151.4,516.99B,0.77%
"Apr 20, 2021",14296.4,14526.7,14526.95,14207.3,456.70B,-0.44%
"Apr 19, 2021",14359.45,14306.6,14382.3,14191.4,503.14B,-1.77%
"Apr 16, 2021",14617.85,14599.6,14697.7,14559,568.57B,0.25%
"Apr 15, 2021",14581.45,14522.4,14597.55,14353.2,556.85B,0.53%
"Apr 13, 2021",14504.8,14364.9,14528.9,14274.9,588.67B,1.36%
"Apr 12, 2021",14310.8,14644.65,14652.5,14248.7,638.48B,-3.53%
"Apr 09, 2021",14834.85,14882.65,14918.45,14785.65,498.35B,-0.26%
"Apr 08, 2021",14873.8,14875.65,14984.15,14821.1,503.73B,0.37%
"Apr 07, 2021",14819.05,14716.45,14879.8,14649.85,476.38B,0.92%
"Apr 06, 2021",14683.5,14737,14779.1,14573.9,474.21B,0.31%
"Apr 05, 2021",14637.8,14837.7,14849.85,14459.5,500.48B,-1.54%
"Apr 01, 2021",14867.35,14798.4,14883.2,14692.45,430.03B,1.20%
"Mar 31, 2021",14690.7,14811.85,14813.75,14670.25,436.87B,-1.04%
"Mar 30, 2021",14845.1,14628.5,14876.3,14617.6,594.52B,2.33%
"Mar 26, 2021",14507.3,14506.3,14572.9,14414.25,481.00B,1.27%
"Mar 25, 2021",14324.9,14570.9,14575.6,14264.4,606.82B,-1.54%
"Mar 24, 2021",14549.4,14712.45,14752.35,14535,456.40B,-1.79%
"Mar 23, 2021",14814.75,14768.55,14878.6,14707,474.15B,0.53%
"Mar 22, 2021",14736.4,14736.3,14763.9,14597.85,459.00B,-0.05%
"Mar 19, 2021",14744,14471.15,14788.25,14350.1,919.18B,1.28%
"Mar 18, 2021",14557.85,14855.5,14875.2,14478.6,542.22B,-1.11%
"Mar 17, 2021",14721.3,14946.55,14956.55,14696.05,479.35B,-1.27%
"Mar 16, 2021",14910.45,14996.1,15051.6,14890.65,437.65B,-0.13%
"Mar 15, 2021",14929.5,15048.4,15048.4,14745.85,467.47B,-0.67%
"Mar 12, 2021",15030.95,15321.15,15336.3,14953.6,493.24B,-0.95%
"Mar 10, 2021",15174.8,15202.15,15218.45,15100.85,404.59B,0.51%
"Mar 09, 2021",15098.4,15049.9,15126.85,14925.45,675.27B,0.95%
"Mar 08, 2021",14956.2,15002.45,15111.15,14919.9,580.31B,0.12%
"Mar 05, 2021",14938.1,14977.95,15092.35,14862.1,640.70B,-0.95%
"Mar 04, 2021",15080.75,15026.75,15202.35,14980.2,534.85B,-1.08%
"Mar 03, 2021",15245.6,15064.4,15273.15,14995.8,544.21B,2.19%
"Mar 02, 2021",14919.1,14865.3,14959.1,14760.8,621.72B,1.07%
"Mar 01, 2021",14761.55,14702.5,14806.8,14638.55,507.30B,1.60%
"Feb 26, 2021",14529.15,14888.6,14919.45,14467.75,"1,103.64B",-3.76%
"Feb 25, 2021",15097.35,15079.85,15176.5,15065.35,803.88B,0.77%
"Feb 24, 2021",14982,14729.15,15008.8,14723.05,403.75B,1.86%
"Feb 23, 2021",14707.8,14782.25,14854.5,14651.85,744.09B,0.22%
"Feb 22, 2021",14675.7,14999.05,15010.1,14635.05,609.90B,-2.04%
"Feb 19, 2021",14981.75,15074.8,15144.05,14898.2,712.21B,-0.91%
"Feb 18, 2021",15118.95,15238.7,15250.75,15078.05,770.63B,-0.59%
"Feb 17, 2021",15208.9,15279.9,15314.3,15170.75,504.77B,-0.68%
"Feb 16, 2021",15313.45,15371.45,15431.75,15242.2,648.55B,-0.01%
"Feb 15, 2021",15314.7,15270.3,15340.15,15243.4,455.96B,1.00%
"Feb 12, 2021",15163.3,15186.2,15243.5,15081,571.81B,-0.07%
"Feb 11, 2021",15173.3,15073.25,15188.5,15065.4,500.12B,0.44%
"Feb 10, 2021",15106.5,15119.05,15168.25,14977.2,624.79B,-0.02%
"Feb 09, 2021",15109.3,15164.15,15257.1,15064.3,713.28B,-0.04%
"Feb 08, 2021",15115.8,15064.3,15159.9,15041.05,671.24B,1.28%
"Feb 05, 2021",14924.25,14952.6,15014.65,14864.75,935.63B,0.19%
